Location,Staff Quarter,Table Name,24X7Security,AC,Area,ATM,BED,Cafeteria,Car Parking,Children'splayarea,Club House,Dining Table,Gasconnection,Golf Course,Gymnasium,Hospital,Indoor Games,Intercom,Jogging Track,Landscaped Gardens,Lift Available,Maintenance Staff,Microwave,Multipurpose Room,No. of Bedrooms,Power Backup,Price,Rain Water Harvesting,Refrigerator,Resale,School,Shopping Mall,Sofa,Sports Facility,Swimming Pool,TV,Vaastu Compliant,Wardrobe,Washing Machine,Wifi
New Town,9,Kolkata.csv,9,9,2800,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,9,9700000,9,9,1,9,9,9,9,9,9,9,9,9,9
Mominpore,9,Kolkata.csv,9,9,3400,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,5,9,7600000,9,9,1,9,9,9,9,9,9,9,9,9,9
Narendrapur,9,Kolkata.csv,9,9,1907,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,11500000,9,9,1,9,9,9,9,9,9,9,9,9,9
Dum Dum,9,Kolkata.csv,9,9,1119,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,9500000,9,9,0,9,9,9,9,9,9,9,9,9,9
Dum Dum,9,Kolkata.csv,9,9,1350,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,9500000,9,9,0,9,9,9,9,9,9,9,9,9,9
Topsia,9,Kolkata.csv,9,9,4000,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,25000000,9,9,1,9,9,9,9,9,9,9,9,9,9
Ballygunge,9,Kolkata.csv,9,9,1000,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,12000000,9,9,1,9,9,9,9,9,9,9,9,9,9
Garia,9,Kolkata.csv,9,9,1650,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,9,6200000,9,9,0,9,9,9,9,9,9,9,9,9,9
East Kolkata Township,9,Kolkata.csv,9,9,1650,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,14000000,9,9,1,9,9,9,9,9,9,9,9,9,9
College Square,9,Kolkata.csv,9,9,1400,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,17000000,9,9,1,9,9,9,9,9,9,9,9,9,9
Ballygunge,9,Kolkata.csv,9,9,1050,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,26000000,9,9,1,9,9,9,9,9,9,9,9,9,9
Beniapukur,9,Kolkata.csv,9,9,2100,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6,9,13000000,9,9,1,9,9,9,9,9,9,9,9,9,9
New Town,9,Kolkata.csv,9,9,2100,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,2797000,9,9,1,9,9,9,9,9,9,9,9,9,9
Joka,9,Kolkata.csv,9,9,1440,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,3375000,9,9,1,9,9,9,9,9,9,9,9,9,9
Beniapukur,9,Kolkata.csv,9,9,1650,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,42000000,9,9,1,9,9,9,9,9,9,9,9,9,9
New Town,9,Kolkata.csv,9,9,2800,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,9,9700000,9,9,1,9,9,9,9,9,9,9,9,9,9
Mominpore,9,Kolkata.csv,9,9,3400,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,5,9,7600000,9,9,1,9,9,9,9,9,9,9,9,9,9
Narendrapur,9,Kolkata.csv,9,9,1907,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,6900000,9,9,1,9,9,9,9,9,9,9,9,9,9
Dum Dum,9,Kolkata.csv,9,9,1119,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,4600000,9,9,0,9,9,9,9,9,9,9,9,9,9
Dum Dum,9,Kolkata.csv,9,9,1350,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,3518000,9,9,0,9,9,9,9,9,9,9,9,9,9
Topsia,9,Kolkata.csv,9,9,4000,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,5200000,9,9,1,9,9,9,9,9,9,9,9,9,9
Ballygunge,9,Kolkata.csv,9,9,1000,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,4300000,9,9,1,9,9,9,9,9,9,9,9,9,9
Garia,9,Kolkata.csv,9,9,1650,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,9,3799000,9,9,0,9,9,9,9,9,9,9,9,9,9
Maniktala,9,Kolkata.csv,9,9,1150,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,6650000,9,9,1,9,9,9,9,9,9,9,9,9,9
Maheshtala,9,Kolkata.csv,9,9,1062,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,7500000,9,9,1,9,9,9,9,9,9,9,9,9,9
Dum Dum,9,Kolkata.csv,9,9,1135,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,11000000,9,9,0,9,9,9,9,9,9,9,9,9,9
Maheshtala,9,Kolkata.csv,9,9,1534,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,5500000,9,9,1,9,9,9,9,9,9,9,9,9,9
Budge Budge,9,Kolkata.csv,9,9,1280,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,3800000,9,9,1,9,9,9,9,9,9,9,9,9,9
Dhakuria,9,Kolkata.csv,9,9,745,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,2800000,9,9,0,9,9,9,9,9,9,9,9,9,9
Barisha Purba Para Road,9,Kolkata.csv,9,9,1183,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,2793000,9,9,1,9,9,9,9,9,9,9,9,9,9
New Town,9,Kolkata.csv,9,9,1450,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,3162000,9,9,1,9,9,9,9,9,9,9,9,9,9
Netaji Nagar,9,Kolkata.csv,9,9,1585,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,2200000,9,9,0,9,9,9,9,9,9,9,9,9,9
Narendrapur,9,Kolkata.csv,9,9,1251,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,3162000,9,9,1,9,9,9,9,9,9,9,9,9,9
Regent Park,9,Kolkata.csv,9,9,870,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,3342000,9,9,0,9,9,9,9,9,9,9,9,9,9
Ward No 113,9,Kolkata.csv,9,9,910,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,4000000,9,9,0,9,9,9,9,9,9,9,9,9,9
North Dumdum,9,Kolkata.csv,9,9,931,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,3147000,9,9,0,9,9,9,9,9,9,9,9,9,9
North Dumdum,9,Kolkata.csv,9,9,1054,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,17500000,9,9,0,9,9,9,9,9,9,9,9,9,9
Garia,9,Kolkata.csv,9,9,840,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,6700000,9,9,1,9,9,9,9,9,9,9,9,9,9
North Dumdum,9,Kolkata.csv,9,9,1054,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,4425000,9,9,0,9,9,9,9,9,9,9,9,9,9
North Dumdum,9,Kolkata.csv,9,9,1114,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,3210000,9,9,0,9,9,9,9,9,9,9,9,9,9
Behala,9,Kolkata.csv,9,9,895,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,35000000,9,9,1,9,9,9,9,9,9,9,9,9,9
North Dumdum,9,Kolkata.csv,9,9,1049,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,19500000,9,9,0,9,9,9,9,9,9,9,9,9,9
Ballygunge,9,Kolkata.csv,9,9,2500,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,5,9,23500000,9,9,1,9,9,9,9,9,9,9,9,9,9
Sinthi,9,Kolkata.csv,9,9,1489,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,36500000,9,9,0,9,9,9,9,9,9,9,9,9,9
Madhyamgram,9,Kolkata.csv,9,9,1537,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,9,38000000,9,9,0,9,9,9,9,9,9,9,9,9,9
birati,9,Kolkata.csv,9,9,1189,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,18500000,9,9,0,9,9,9,9,9,9,9,9,9,9
Topsia,9,Kolkata.csv,9,9,4000,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,5,9,4500000,9,9,1,9,9,9,9,9,9,9,9,9,9
Gariahat,9,Kolkata.csv,9,9,1750,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,13500000,9,9,1,9,9,9,9,9,9,9,9,9,9
Pancha Sayar,9,Kolkata.csv,9,9,3650,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,5,9,6500000,9,9,1,9,9,9,9,9,9,9,9,9,9
Ballygunge,9,Kolkata.csv,9,9,3950,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,5,9,4000000,9,9,1,9,9,9,9,9,9,9,9,9,9
Ballygunge,9,Kolkata.csv,9,9,3600,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,5,9,8000000,9,9,1,9,9,9,9,9,9,9,9,9,9
Elgin,9,Kolkata.csv,9,9,1550,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,3150000,9,9,1,9,9,9,9,9,9,9,9,9,9
Elgin,9,Kolkata.csv,9,9,780,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,3200000,9,9,1,9,9,9,9,9,9,9,9,9,9
Beniapukur,9,Kolkata.csv,9,9,1600,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,3500000,9,9,1,9,9,9,9,9,9,9,9,9,9
Joka,9,Kolkata.csv,9,9,1440,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,13000000,9,9,1,9,9,9,9,9,9,9,9,9,9
Behala,9,Kolkata.csv,9,9,1052,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,6500000,9,9,1,9,9,9,9,9,9,9,9,9,9
College Square,9,Kolkata.csv,9,9,1768,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,11500000,9,9,1,9,9,9,9,9,9,9,9,9,9
Behala,9,Kolkata.csv,9,9,895,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,2400000,9,9,1,9,9,9,9,9,9,9,9,9,9
Kasba,9,Kolkata.csv,9,9,1000,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,7800000,9,9,1,9,9,9,9,9,9,9,9,9,9
Kasba,9,Kolkata.csv,9,9,900,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,3636000,9,9,1,9,9,9,9,9,9,9,9,9,9
Gariahat,9,Kolkata.csv,9,9,1250,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,6500000,9,9,1,9,9,9,9,9,9,9,9,9,9
East Kolkata Township,9,Kolkata.csv,9,9,1050,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,6200000,9,9,1,9,9,9,9,9,9,9,9,9,9
East Kolkata Township,9,Kolkata.csv,9,9,1650,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,7798000,9,9,1,9,9,9,9,9,9,9,9,9,9
Maheshtala,9,Kolkata.csv,9,9,774,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,12000000,9,9,1,9,9,9,9,9,9,9,9,9,9
Salt Lake City,9,Kolkata.csv,9,9,1600,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,20000000,9,9,1,9,9,9,9,9,9,9,9,9,9
Dum Dum,9,Kolkata.csv,9,9,1212,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,40000000,9,9,0,9,9,9,9,9,9,9,9,9,9
kalikapur,9,Kolkata.csv,9,9,1150,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,38000000,9,9,1,9,9,9,9,9,9,9,9,9,9
Ballygunge,9,Kolkata.csv,9,9,850,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,4300000,9,9,1,9,9,9,9,9,9,9,9,9,9
Baranagar,9,Kolkata.csv,9,9,1340,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,8100000,9,9,1,9,9,9,9,9,9,9,9,9,9
Park Street Area,9,Kolkata.csv,9,9,2100,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,7900000,9,9,1,9,9,9,9,9,9,9,9,9,9
Tangra,9,Kolkata.csv,9,9,2000,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,10500000,9,9,1,9,9,9,9,9,9,9,9,9,9
Alipore,9,Kolkata.csv,9,9,3000,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,9,13500000,9,9,1,9,9,9,9,9,9,9,9,9,9
Topsia,9,Kolkata.csv,9,9,4000,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,5,9,6900000,9,9,1,9,9,9,9,9,9,9,9,9,9
Budge Budge,9,Kolkata.csv,9,9,1280,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,4600000,9,9,1,9,9,9,9,9,9,9,9,9,9
Santoshpur,9,Kolkata.csv,9,9,1264,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,3518000,9,9,1,9,9,9,9,9,9,9,9,9,9
Mukundapur,9,Kolkata.csv,9,9,1600,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,5200000,9,9,1,9,9,9,9,9,9,9,9,9,9
Regent Park,9,Kolkata.csv,9,9,1600,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,13500000,9,9,1,9,9,9,9,9,9,9,9,9,9
Tollygunge,9,Kolkata.csv,9,9,1584,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,3200000,9,9,1,9,9,9,9,9,9,9,9,9,9
Maniktala,9,Kolkata.csv,9,9,1150,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,4000000,9,9,1,9,9,9,9,9,9,9,9,9,9
Maheshtala,9,Kolkata.csv,9,9,1062,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,8000000,9,9,1,9,9,9,9,9,9,9,9,9,9
Dum Dum,9,Kolkata.csv,9,9,1135,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,6400000,9,9,0,9,9,9,9,9,9,9,9,9,9
Maheshtala,9,Kolkata.csv,9,9,1534,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,2947000,9,9,1,9,9,9,9,9,9,9,9,9,9
Rajarhat,9,Kolkata.csv,9,9,2272,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,9,8500000,9,9,0,9,9,9,9,9,9,9,9,9,9
Maheshtala,9,Kolkata.csv,9,9,895,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,2290000,9,9,1,9,9,9,9,9,9,9,9,9,9
Garia,9,Kolkata.csv,9,9,870,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,5150000,9,9,1,9,9,9,9,9,9,9,9,9,9
New Town,9,Kolkata.csv,9,9,1625,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,3168000,9,9,1,9,9,9,9,9,9,9,9,9,9
Joka,9,Kolkata.csv,9,9,1440,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,4750000,9,9,1,9,9,9,9,9,9,9,9,9,9
Dum Dum,9,Kolkata.csv,9,9,1179,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,14000000,9,9,0,9,9,9,9,9,9,9,9,9,9
Ballygunge,9,Kolkata.csv,9,9,980,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,4356000,9,9,1,9,9,9,9,9,9,9,9,9,9
Chandannagar,9,Kolkata.csv,9,9,916,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,5400000,9,9,0,9,9,9,9,9,9,9,9,9,9
Maheshtala,9,Kolkata.csv,9,9,1309,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,4800000,9,9,1,9,9,9,9,9,9,9,9,9,9
Dum Dum,9,Kolkata.csv,9,9,1056,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,2552000,9,9,0,9,9,9,9,9,9,9,9,9,9
Barisha Purba Para Road,9,Kolkata.csv,9,9,927,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,7500000,9,9,1,9,9,9,9,9,9,9,9,9,9
Elgin,9,Kolkata.csv,9,9,1100,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,6000000,9,9,1,9,9,9,9,9,9,9,9,9,9
Airport,9,Kolkata.csv,9,9,1210,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,2700000,9,9,0,9,9,9,9,9,9,9,9,9,9
Behala,9,Kolkata.csv,9,9,1323,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,6200000,9,9,1,9,9,9,9,9,9,9,9,9,9
Paschim Putiary,9,Kolkata.csv,9,9,1180,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,8500000,9,9,0,9,9,9,9,9,9,9,9,9,9
Dum Dum,9,Kolkata.csv,9,9,1021,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,9000000,9,9,0,9,9,9,9,9,9,9,9,9,9
kalikapur,9,Kolkata.csv,9,9,1450,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,4500000,9,9,1,9,9,9,9,9,9,9,9,9,9
Kasba,9,Kolkata.csv,9,9,1400,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,9500000,9,9,1,9,9,9,9,9,9,9,9,9,9
Kamdahari,9,Kolkata.csv,9,9,775,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,18700000,9,9,0,9,9,9,9,9,9,9,9,9,9
New Town,9,Kolkata.csv,9,9,1350,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,7820999,9,9,1,9,9,9,9,9,9,9,9,9,9
New Town,9,Kolkata.csv,9,9,1996,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,3000000,9,9,1,9,9,9,9,9,9,9,9,9,9
New Town,9,Kolkata.csv,9,9,1996,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,6400000,9,9,1,9,9,9,9,9,9,9,9,9,9
New Town,9,Kolkata.csv,9,9,901,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,2290000,9,9,1,9,9,9,9,9,9,9,9,9,9
Satchashipara,9,Kolkata.csv,9,9,1500,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,5150000,9,9,1,9,9,9,9,9,9,9,9,9,9
Tangra,9,Kolkata.csv,9,9,2345,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,3168000,9,9,0,9,9,9,9,9,9,9,9,9,9
Garia,9,Kolkata.csv,9,9,1422,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,4750000,9,9,1,9,9,9,9,9,9,9,9,9,9
Howrah,9,Kolkata.csv,9,9,833,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,14000000,9,9,0,9,9,9,9,9,9,9,9,9,9
Joka,9,Kolkata.csv,9,9,1440,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,4356000,9,9,1,9,9,9,9,9,9,9,9,9,9
Chandannagar,9,Kolkata.csv,9,9,916,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,25000000,9,9,0,9,9,9,9,9,9,9,9,9,9
Maheshtala,9,Kolkata.csv,9,9,1309,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,4200000,9,9,1,9,9,9,9,9,9,9,9,9,9
Dum Dum,9,Kolkata.csv,9,9,1056,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,3700000,9,9,0,9,9,9,9,9,9,9,9,9,9
Barisha Purba Para Road,9,Kolkata.csv,9,9,927,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,2415000,9,9,1,9,9,9,9,9,9,9,9,9,9
Elgin,9,Kolkata.csv,9,9,1100,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,2325000,9,9,1,9,9,9,9,9,9,9,9,9,9
Airport,9,Kolkata.csv,9,9,1210,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,3147000,9,9,0,9,9,9,9,9,9,9,9,9,9
Elgin,9,Kolkata.csv,9,9,2410,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,9,3629999,9,9,1,9,9,9,9,9,9,9,9,9,9
Garia,9,Kolkata.csv,9,9,1000,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,2628000,9,9,0,9,9,9,9,9,9,9,9,9,9
Harinavi,9,Kolkata.csv,9,9,1135,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,3400000,9,9,0,9,9,9,9,9,9,9,9,9,9
North Dumdum,9,Kolkata.csv,9,9,805,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,11000000,9,9,0,9,9,9,9,9,9,9,9,9,9
North Dumdum,9,Kolkata.csv,9,9,775,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,4236000,9,9,0,9,9,9,9,9,9,9,9,9,9
North Dumdum,9,Kolkata.csv,9,9,1049,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,8000000,9,9,0,9,9,9,9,9,9,9,9,9,9
North Dumdum,9,Kolkata.csv,9,9,1210,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,2200000,9,9,0,9,9,9,9,9,9,9,9,9,9
North Dumdum,9,Kolkata.csv,9,9,876,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,2300000,9,9,0,9,9,9,9,9,9,9,9,9,9
Garia,9,Kolkata.csv,9,9,740,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,9754000,9,9,0,9,9,9,9,9,9,9,9,9,9
Tangra,9,Kolkata.csv,9,9,1285,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,4236000,9,9,0,9,9,9,9,9,9,9,9,9,9
Garia,9,Kolkata.csv,9,9,963,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,8000000,9,9,0,9,9,9,9,9,9,9,9,9,9
New Town,9,Kolkata.csv,9,9,1400,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,5200000,9,9,1,9,9,9,9,9,9,9,9,9,9
Purba Putiary,9,Kolkata.csv,9,9,770,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9400000,9,9,1,9,9,9,9,9,9,9,9,9,9
Purba Putiary,9,Kolkata.csv,9,9,780,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,6700000,9,9,1,9,9,9,9,9,9,9,9,9,9
Tangra,9,Kolkata.csv,9,9,1091,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,7198999,9,9,0,9,9,9,9,9,9,9,9,9,9
Garia,9,Kolkata.csv,9,9,963,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,3500000,9,9,0,9,9,9,9,9,9,9,9,9,9
New Town,9,Kolkata.csv,9,9,1400,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,7500000,9,9,1,9,9,9,9,9,9,9,9,9,9
Dunlop,9,Kolkata.csv,9,9,1420,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,3306000,9,9,1,9,9,9,9,9,9,9,9,9,9
Dhapa,9,Kolkata.csv,9,9,1475,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,2580000,9,9,1,9,9,9,9,9,9,9,9,9,9
Kasba,9,Kolkata.csv,9,9,1210,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,2931000,9,9,0,9,9,9,9,9,9,9,9,9,9
Dhakuria,9,Kolkata.csv,9,9,1225,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,3461999,9,9,0,9,9,9,9,9,9,9,9,9,9
Netaji Nagar,9,Kolkata.csv,9,9,800,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,4700000,9,9,0,9,9,9,9,9,9,9,9,9,9
Dhakuria,9,Kolkata.csv,9,9,1030,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,3342000,9,9,1,9,9,9,9,9,9,9,9,9,9
North Dumdum,9,Kolkata.csv,9,9,1102,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,4000000,9,9,0,9,9,9,9,9,9,9,9,9,9
North Dumdum,9,Kolkata.csv,9,9,860,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,3147000,9,9,0,9,9,9,9,9,9,9,9,9,9
North Dumdum,9,Kolkata.csv,9,9,977,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,2060000,9,9,0,9,9,9,9,9,9,9,9,9,9
Belghoria,9,Kolkata.csv,9,9,1154,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,2000000,9,9,1,9,9,9,9,9,9,9,9,9,9
